file,format,siri_profile,file_size_kb,parse_success,parse_time_ms,memory_peak_mb,connections,vehicles,alerts,completeness_score,jsonld_valid,uri_valid,datetime_valid,parse_error
Netex_01.2_Bus_SimpleTimetable_WithTimings.xml,netex,,55.78,True,12.96,0.4292,4,0,0,0.2,True,True,False,
Netex_09.2_Bus_SimpleTimetable_Slovenia.xml,netex,,37.59,True,7.3,0.0529,4,0,0,0.1,True,True,False,
Netex_01.1_Bus_SimpleTimetable_JourneysOnly.xml,netex,,19.66,True,5.7,0.0501,4,0,0,0.2,True,True,False,
ext_estimatedTimetable_request.xml,siri,,0.94,False,0.0,0.0,0,0,0,0.0,False,False,False,Could not detect SIRI profile
exx_situationExchange_request.xml,siri,,1.17,False,0.0,0.0,0,0,0,0.0,False,False,False,Could not detect SIRI profile
exv_vehicleMonitoring_request.xml,siri,,1.25,False,0.0,0.0,0,0,0,0.0,False,False,False,Could not detect SIRI profile
exv_vehicleMonitoring_response.xml,siri,vm,5.73,True,1.35,0.0071,0,2,0,1.0,True,False,False,
exa_dataReady_request.xml,siri,,0.43,False,0.0,0.0,0,0,0,0.0,False,False,False,Could not detect SIRI profile
exs_stopMonitoring_request.xml,siri,,1.71,False,0.0,0.0,0,0,0,0.0,False,False,False,Could not detect SIRI profile
exx_situationExchange_response.xml,siri,sx,10.11,True,3.9,0.0115,0,0,2,1.0,True,False,False,
exs_stopMonitoring_response.xml,siri,sm,10.41,False,0.0,0.0,0,0,0,0.0,False,False,False,
exu_dataObject_request.xml,netex,,1.18,True,0.07,0.0015,0,0,0,0.0,False,False,False,
ext_estimatedTimetable_response.xml,siri,et,5.33,True,0.96,0.0113,2,0,0,0.2,True,True,True,
netex_Full_PublicationDelivery_109_Oslo_morningbus_example.xml,netex,,42.52,True,36.66,0.3689,30,0,0,0.2167,True,True,False,
netex_network_FlexibleLine-316-with-interchange.xml,netex,,26.7,True,5.49,0.047,4,0,0,0.1,True,True,False,
netex_network_Line61A.xml,netex,,29.26,True,0.41,0.0015,0,0,0,0.0,False,False,False,
netex_network_Train-Network-with-RoutePointProjections.xml,netex,,36.39,True,0.49,0.0015,0,0,0,0.0,False,False,False,
netex_schedule_ServiceCalendar-example.xml,netex,,5.55,True,0.31,0.003,0,0,0,0.0,False,False,False,
netex_schedule_ServiceCalendar-DayTypeAssignments.xml,netex,,6.42,True,0.44,0.0031,0,0,0,0.0,False,False,False,
netex_stops_BasicStopPlace_example.xml,netex,,2.85,True,0.11,0.0015,0,0,0,0.0,False,False,False,
netex_stops_OsloS_station_example.xml,netex,,35.05,True,0.39,0.0015,0,0,0,0.0,False,False,False,
netex_timetable_AKT-2706-591T-Stokkeland-Lauvslandsmoen-with-extended-DestinationDisplay-incl-Via-and-Variants.xml,netex,,15.19,True,9.09,0.1002,7,0,0,0.3,True,True,False,
siri_siri-et-outline.xml,siri,et,1.18,True,0.16,0.0021,0,0,0,0.0,False,False,False,
siri_estimated-timetable_siri-et-nsb-example.xml,siri,et,8.69,True,0.25,0.002,0,0,0,0.0,False,False,False,
siri_estimated-timetable_siri-et-extra-journey-1.xml,siri,et,8.82,True,2.14,0.0156,7,0,0,0.2,True,True,True,
siri_siri-vm-outline.xml,siri,vm,0.79,True,0.13,0.0024,0,0,0,0.0,False,False,False,
siri_vehicle-monitoring_siri-vm.xml,siri,vm,8.69,True,1.42,0.0043,0,1,0,1.0,True,False,False,
siri_vehicle-monitoring_siri-vm-at-stop.xml,siri,vm,2.58,True,0.59,0.004,0,1,0,1.0,True,False,False,
siri_siri-sx-outline.xml,siri,sx,0.55,True,0.08,0.0015,0,0,0,0.0,False,False,False,
siri_situation-exchange_siri-sx.xml,siri,sx,9.19,True,2.57,0.005,0,0,1,1.0,True,False,False,
siri_situation-exchange_siri-sx-for-line.xml,siri,sx,2.06,True,0.76,0.004,0,0,1,1.0,True,False,False,
